Sr. No.,match,team,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls,match_id
1,India Vs Australia,Australia,Mitchell Starc,10.0,0,55,3,5.5,30,4,1,3,0,ODI # 4662
2,India Vs Australia,Australia,Josh Hazlewood,10.0,0,60,2,6.0,22,4,1,1,0,ODI # 4662
3,India Vs Australia,Australia,Glenn Maxwell,6.0,0,35,1,5.83,19,4,1,0,0,ODI # 4662
4,India Vs Australia,Australia,Pat Cummins,10.0,0,34,2,3.4,30,0,0,2,0,ODI # 4662
5,India Vs Australia,Australia,Adam Zampa,10.0,0,44,1,4.4,22,1,0,1,0,ODI # 4662
6,India Vs Australia,Australia,Mitchell Marsh,2.0,0,5,0,2.5,7,0,0,0,0,ODI # 4662
7,India Vs Australia,Australia,Travis Head,2.0,0,4,0,2.0,8,0,0,0,0,ODI # 4662
8,India Vs Australia,India,Jasprit Bumrah,9.0,2,43,2,4.77,37,8,0,0,0,ODI # 4662
9,India Vs Australia,India,Mohammed Shami,7.0,1,47,1,6.71,28,6,1,3,0,ODI # 4662
10,India Vs Australia,India,Ravindra Jadeja,10.0,0,43,0,4.3,29,1,1,1,0,ODI # 4662
11,India Vs Australia,India,Kuldeep Yadav,10.0,0,56,0,5.6,25,3,2,0,0,ODI # 4662
12,India Vs Australia,India,Mohammed Siraj,7.0,0,45,1,6.42,16,4,1,0,0,ODI # 4662
13,South Africa Vs Australia,Australia,Mitchell Starc,10.0,1,34,3,3.4,46,3,1,4,0,ODI # 4667
14,South Africa Vs Australia,Australia,Josh Hazlewood,8.0,3,12,2,1.5,39,1,0,0,0,ODI # 4667
15,South Africa Vs Australia,Australia,Pat Cummins,9.4,0,51,3,5.27,32,5,1,2,0,ODI # 4667
16,South Africa Vs Australia,Australia,Adam Zampa,7.0,0,55,0,7.85,21,1,6,0,0,ODI # 4667
17,South Africa Vs Australia,Australia,Glenn Maxwell,10.0,0,35,0,3.5,35,3,0,0,0,ODI # 4667
18,South Africa Vs Australia,Australia,Travis Head,5.0,0,21,2,4.2,19,3,0,1,0,ODI # 4667
19,South Africa Vs Australia,South Africa,Marco Jansen,4.2,0,35,0,8.07,18,6,1,4,0,ODI # 4667
20,South Africa Vs Australia,South Africa,Kagiso Rabada,6.0,0,41,1,6.83,24,2,4,1,1,ODI # 4667
21,South Africa Vs Australia,South Africa,Aiden Markram,8.0,1,23,1,2.87,34,1,1,1,0,ODI # 4667
22,South Africa Vs Australia,South Africa,Gerald Coetzee,9.0,0,47,2,5.22,35,8,0,1,1,ODI # 4667
23,South Africa Vs Australia,South Africa,Tabraiz Shamsi,10.0,0,42,2,4.2,36,3,0,5,0,ODI # 4667
24,South Africa Vs Australia,South Africa,Keshav Maharaj,10.0,0,24,1,2.4,39,1,0,0,0,ODI # 4667
25,Sri Lanka Vs Bangladesh,Bangladesh,Shoriful Islam,9.3,0,51,2,5.36,33,7,0,1,0,ODI # 4695
26,Sri Lanka Vs Bangladesh,Bangladesh,Taskin Ahmed,10.0,1,39,0,3.9,39,5,0,1,0,ODI # 4695
27,Sri Lanka Vs Bangladesh,Bangladesh,Tanzim Hasan Sakib,10.0,0,80,3,8.0,27,8,4,2,0,ODI # 4695
28,Sri Lanka Vs Bangladesh,Bangladesh,Shakib Al Hasan,10.0,0,57,2,5.7,23,1,3,0,0,ODI # 4695
29,Sri Lanka Vs Bangladesh,Bangladesh,Mehidy Hasan Miraz,10.0,0,49,1,4.9,30,6,0,0,0,ODI # 4695
30,Sri Lanka Vs Bangladesh,Sri Lanka,Dilshan Madushanka,10.0,1,69,3,6.9,35,7,3,4,0,ODI # 4695
31,Sri Lanka Vs Bangladesh,Sri Lanka,Maheesh Theekshana,9.0,0,44,2,4.88,34,6,0,3,0,ODI # 4695
32,Sri Lanka Vs Bangladesh,Sri Lanka,Kasun Rajitha,4.0,0,47,0,11.75,7,5,3,0,0,ODI # 4695
33,Sri Lanka Vs Bangladesh,Sri Lanka,Dushmantha Chameera,8.0,0,54,0,6.75,25,8,1,2,0,ODI # 4695
34,Sri Lanka Vs Bangladesh,Sri Lanka,Angelo Mathews,7.1,1,35,2,4.88,24,4,0,1,0,ODI # 4695
35,Sri Lanka Vs Bangladesh,Sri Lanka,Dhananjaya de Silva,3.0,0,20,0,6.66,8,3,0,0,0,ODI # 4695
36,India Vs South Africa,South Africa,Lungi Ngidi,8.2,0,63,1,7.56,29,8,3,2,0,ODI # 4694
37,India Vs South Africa,South Africa,Marco Jansen,9.4,0,94,1,9.72,28,15,1,7,1,ODI # 4694
38,India Vs South Africa,South Africa,Kagiso Rabada,10.0,1,48,1,4.8,33,6,0,0,0,ODI # 4694
39,India Vs South Africa,South Africa,Keshav Maharaj,10.0,0,30,1,3.0,32,0,0,1,0,ODI # 4694
40,India Vs South Africa,South Africa,Tabraiz Shamsi,10.0,0,72,1,7.2,22,5,1,7,1,ODI # 4694
41,India Vs South Africa,South Africa,Aiden Markram,2.0,0,17,0,8.5,4,1,1,1,0,ODI # 4694
42,India Vs South Africa,India,Jasprit Bumrah,5.0,0,14,0,2.8,23,2,0,1,0,ODI # 4694
43,India Vs South Africa,India,Mohammed Siraj,4.0,1,11,1,2.75,18,1,0,0,0,ODI # 4694
44,India Vs South Africa,India,Ravindra Jadeja,9.0,1,33,5,3.66,37,5,0,0,0,ODI # 4694
45,India Vs South Africa,India,Mohammed Shami,4.0,0,18,2,4.5,16,2,0,1,0,ODI # 4694
46,India Vs South Africa,India,Kuldeep Yadav,5.1,1,7,2,1.35,24,0,0,0,0,ODI # 4694
47,Australia Vs England,England,David Willey,10.0,1,48,1,4.8,31,4,0,1,0,ODI # 4693
48,Australia Vs England,England,Chris Woakes,9.3,0,54,4,5.68,31,5,1,0,0,ODI # 4693
49,Australia Vs England,England,Mark Wood,10.0,0,70,2,7.0,27,9,0,3,0,ODI # 4693
50,Australia Vs England,England,Liam Livingstone,6.0,0,42,1,7.0,10,2,1,0,0,ODI # 4693
51,Australia Vs England,England,Moeen Ali,4.0,0,28,0,7.0,9,4,0,0,0,ODI # 4693
52,Australia Vs England,England,Adil Rashid,10.0,0,38,2,3.8,34,1,1,0,0,ODI # 4693
53,Australia Vs England,Australia,Mitchell Starc,10.0,0,66,2,6.6,29,7,1,4,0,ODI # 4693
54,Australia Vs England,Australia,Josh Hazlewood,9.1,1,49,2,5.34,34,6,1,2,0,ODI # 4693
55,Australia Vs England,Australia,Pat Cummins,10.0,1,49,2,4.9,32,5,1,0,0,ODI # 4693
56,Australia Vs England,Australia,Adam Zampa,10.0,0,21,3,2.1,41,0,0,2,0,ODI # 4693
57,Australia Vs England,Australia,Travis Head,5.0,0,28,0,5.6,12,0,2,0,0,ODI # 4693
58,Australia Vs England,Australia,Marcus Stoinis,4.0,0,34,1,8.5,8,4,1,0,0,ODI # 4693
59,New Zealand Vs Pakistan,Pakistan,Shaheen Shah Afridi,10.0,0,90,0,9.0,24,11,2,5,0,ODI # 4692
60,New Zealand Vs Pakistan,Pakistan,Hasan Ali,10.0,0,82,1,8.2,26,10,2,2,1,ODI # 4692
61,New Zealand Vs Pakistan,Pakistan,Iftikhar Ahmed,8.0,0,55,1,6.87,20,8,0,0,0,ODI # 4692
62,New Zealand Vs Pakistan,Pakistan,Haris Rauf,10.0,0,85,1,8.5,24,11,2,2,0,ODI # 4692
63,New Zealand Vs Pakistan,Pakistan,Mohammad Wasim,10.0,0,60,3,6.0,28,4,1,3,0,ODI # 4692
64,New Zealand Vs Pakistan,Pakistan,Agha Salman,2.0,0,21,0,10.5,3,2,1,1,0,ODI # 4692
65,New Zealand Vs Pakistan,New Zealand,Trent Boult,6.0,0,50,0,8.33,20,7,2,2,0,ODI # 4692
66,New Zealand Vs Pakistan,New Zealand,Tim Southee,5.0,0,27,1,5.4,17,1,2,0,0,ODI # 4692
67,New Zealand Vs Pakistan,New Zealand,Mitchell Santner,5.0,0,35,0,7.0,13,1,3,0,0,ODI # 4692
68,New Zealand Vs Pakistan,New Zealand,Glenn Phillips,5.0,1,42,0,8.4,13,3,3,0,0,ODI # 4692
69,New Zealand Vs Pakistan,New Zealand,Ish Sodhi,4.0,0,44,0,11.0,6,3,3,1,0,ODI # 4692
70,New Zealand Vs Pakistan,New Zealand,Daryl Mitchell,0.3,0,1,0,2.0,2,0,0,0,0,ODI # 4692
71,Netherlands Vs Afghanistan,Afghanistan,Mujeeb Ur Rahman,10.0,0,40,1,4.0,40,4,0,3,0,ODI # 4691
72,Netherlands Vs Afghanistan,Afghanistan,Fazalhaq Farooqi,5.0,0,36,0,7.2,20,8,0,2,0,ODI # 4691
73,Netherlands Vs Afghanistan,Afghanistan,Azmatullah Omarzai,3.0,0,11,0,3.66,10,1,0,0,0,ODI # 4691
74,Netherlands Vs Afghanistan,Afghanistan,Mohammad Nabi,9.3,1,28,3,2.94,39,3,0,1,0,ODI # 4691
75,Netherlands Vs Afghanistan,Afghanistan,Rashid Khan,10.0,0,31,0,3.1,35,0,0,3,0,ODI # 4691
76,Netherlands Vs Afghanistan,Afghanistan,Noor Ahmad,9.0,0,31,2,3.44,36,3,0,3,0,ODI # 4691
77,Netherlands Vs Afghanistan,Netherlands,Aryan Dutt,8.3,0,49,0,5.76,25,6,0,3,0,ODI # 4691
78,Netherlands Vs Afghanistan,Netherlands,Logan van Beek,7.0,0,30,1,4.28,26,3,0,2,0,ODI # 4691
79,Netherlands Vs Afghanistan,Netherlands,Paul van Meekeren,5.0,0,35,0,7.0,15,6,0,1,1,ODI # 4691
80,Netherlands Vs Afghanistan,Netherlands,Roelof van der Merwe,5.0,0,27,1,5.4,11,2,0,0,0,ODI # 4691
81,Netherlands Vs Afghanistan,Netherlands,Saqib Zulfiqar,3.0,0,25,1,8.33,8,4,0,0,1,ODI # 4691
82,Netherlands Vs Afghanistan,Netherlands,Colin Ackermann,3.0,0,12,0,4.0,8,0,0,1,0,ODI # 4691
83,India Vs Sri Lanka,Sri Lanka,Dilshan Madushanka,10.0,0,80,5,8.0,25,8,2,6,0,ODI # 4690
84,India Vs Sri Lanka,Sri Lanka,Dushmantha Chameera,10.0,2,71,1,7.1,28,8,2,0,0,ODI # 4690
85,India Vs Sri Lanka,Sri Lanka,Kasun Rajitha,9.0,0,65,0,7.22,25,7,2,1,0,ODI # 4690
86,India Vs Sri Lanka,Sri Lanka,Angelo Mathews,3.0,0,11,0,3.66,10,1,0,0,0,ODI # 4690
87,India Vs Sri Lanka,Sri Lanka,Maheesh Theekshana,10.0,0,67,0,6.7,18,5,1,1,0,ODI # 4690
88,India Vs Sri Lanka,Sri Lanka,Dushan Hemantha,8.0,0,52,0,6.5,17,2,2,0,1,ODI # 4690
89,India Vs Sri Lanka,India,Jasprit Bumrah,5.0,1,8,1,1.6,26,0,0,3,0,ODI # 4690
90,India Vs Sri Lanka,India,Mohammed Siraj,7.0,2,16,3,2.28,35,2,0,1,0,ODI # 4690
91,India Vs Sri Lanka,India,Mohammed Shami,5.0,1,18,5,3.6,22,3,0,0,0,ODI # 4690
92,India Vs Sri Lanka,India,Kuldeep Yadav,2.0,0,3,0,1.5,9,0,0,0,0,ODI # 4690
93,India Vs Sri Lanka,India,Ravindra Jadeja,0.4,0,4,1,6.0,3,1,0,0,0,ODI # 4690
94,South Africa Vs New Zealand,New Zealand,Trent Boult,10.0,1,49,1,4.9,35,5,1,2,0,ODI # 4689
95,South Africa Vs New Zealand,New Zealand,Matt Henry,5.3,0,31,0,5.63,20,4,1,1,0,ODI # 4689
96,South Africa Vs New Zealand,New Zealand,Tim Southee,10.0,0,77,2,7.7,19,6,3,1,0,ODI # 4689
97,South Africa Vs New Zealand,New Zealand,Mitchell Santner,10.0,0,58,0,5.8,18,2,1,2,0,ODI # 4689
98,South Africa Vs New Zealand,New Zealand,Glenn Phillips,7.0,0,52,0,7.42,15,2,3,2,0,ODI # 4689
99,South Africa Vs New Zealand,New Zealand,Rachin Ravindra,2.0,0,17,0,8.5,6,2,1,0,0,ODI # 4689
100,South Africa Vs New Zealand,New Zealand,James Neesham,5.3,0,69,1,12.54,7,5,5,0,0,ODI # 4689
101,South Africa Vs New Zealand,South Africa,Marco Jansen,8.0,1,31,3,3.87,29,3,0,1,1,ODI # 4689
102,South Africa Vs New Zealand,South Africa,Lungi Ngidi,6.0,1,28,0,4.66,23,4,0,0,0,ODI # 4689
103,South Africa Vs New Zealand,South Africa,Kagiso Rabada,6.0,2,16,1,2.66,27,2,0,0,0,ODI # 4689
104,South Africa Vs New Zealand,South Africa,Gerald Coetzee,6.3,0,41,2,6.3,24,5,1,1,0,ODI # 4689
105,South Africa Vs New Zealand,South Africa,Keshav Maharaj,9.0,0,46,4,5.11,32,3,3,0,0,ODI # 4689
106,Bangladesh Vs Pakistan,Pakistan,Shaheen Shah Afridi,9.0,1,23,3,2.55,40,2,0,2,0,ODI # 4688
107,Bangladesh Vs Pakistan,Pakistan,Iftikhar Ahmed,10.0,0,44,1,4.4,32,5,0,0,0,ODI # 4688
108,Bangladesh Vs Pakistan,Pakistan,Haris Rauf,8.0,0,36,2,4.5,28,3,0,2,0,ODI # 4688
109,Bangladesh Vs Pakistan,Pakistan,Mohammad Wasim,8.1,1,31,3,3.79,31,4,0,0,0,ODI # 4688
110,Bangladesh Vs Pakistan,Pakistan,Usama Mir,10.0,0,66,1,6.6,27,5,3,1,0,ODI # 4688
111,Bangladesh Vs Pakistan,Bangladesh,Taskin Ahmed,6.0,1,36,0,6.0,21,2,3,0,0,ODI # 4688
112,Bangladesh Vs Pakistan,Bangladesh,Shoriful Islam,4.0,1,25,0,6.25,16,3,1,1,0,ODI # 4688
113,Bangladesh Vs Pakistan,Bangladesh,Mehidy Hasan Miraz,9.0,0,60,3,6.66,25,3,4,0,0,ODI # 4688
114,Bangladesh Vs Pakistan,Bangladesh,Mustafizur Rahman,7.0,0,47,0,6.71,23,9,0,1,0,ODI # 4688
115,Bangladesh Vs Pakistan,Bangladesh,Shakib Al Hasan,5.3,0,30,0,5.45,13,1,1,0,0,ODI # 4688
116,Bangladesh Vs Pakistan,Bangladesh,Najmul Hossain Shanto,1.0,0,5,0,5.0,4,1,0,0,0,ODI # 4688
117,Sri Lanka Vs Afghanistan,Afghanistan,Mujeeb Ur Rahman,10.0,0,38,2,3.8,29,2,0,0,0,ODI # 4687
118,Sri Lanka Vs Afghanistan,Afghanistan,Fazalhaq Farooqi,10.0,1,34,4,3.4,42,3,1,0,0,ODI # 4687
119,Sri Lanka Vs Afghanistan,Afghanistan,Naveen-ul-Haq,6.3,0,47,0,7.23,16,5,1,2,0,ODI # 4687
120,Sri Lanka Vs Afghanistan,Afghanistan,Azmatullah Omarzai,7.0,0,37,1,5.28,22,5,0,1,0,ODI # 4687
121,Sri Lanka Vs Afghanistan,Afghanistan,Rashid Khan,10.0,0,50,1,5.0,27,3,0,2,0,ODI # 4687
122,Sri Lanka Vs Afghanistan,Afghanistan,Mohammad Nabi,6.0,0,33,0,5.5,11,1,0,0,0,ODI # 4687
123,Sri Lanka Vs Afghanistan,Sri Lanka,Dilshan Madushanka,9.0,0,48,2,5.33,28,4,1,3,0,ODI # 4687
124,Sri Lanka Vs Afghanistan,Sri Lanka,Kasun Rajitha,10.0,0,48,1,4.8,37,4,1,2,0,ODI # 4687
125,Sri Lanka Vs Afghanistan,Sri Lanka,Angelo Mathews,3.0,0,18,0,6.0,8,2,0,0,0,ODI # 4687
126,Sri Lanka Vs Afghanistan,Sri Lanka,Dushmantha Chameera,9.2,0,51,0,5.46,29,4,2,0,0,ODI # 4687
127,Sri Lanka Vs Afghanistan,Sri Lanka,Maheesh Theekshana,10.0,0,55,0,5.5,25,3,1,3,0,ODI # 4687
128,Sri Lanka Vs Afghanistan,Sri Lanka,Dhananjaya de Silva,4.0,0,21,0,5.25,9,2,0,0,0,ODI # 4687
129,India Vs England,England,David Willey,10.0,2,45,3,4.5,39,4,2,0,0,ODI # 4686
130,India Vs England,England,Chris Woakes,9.0,1,33,2,3.66,36,3,0,1,0,ODI # 4686
131,India Vs England,England,Adil Rashid,10.0,0,35,2,3.5,35,3,0,0,0,ODI # 4686
132,India Vs England,England,Mark Wood,9.0,1,46,1,5.11,32,3,2,2,0,ODI # 4686
133,India Vs England,England,Liam Livingstone,4.0,1,29,0,7.25,13,5,0,0,0,ODI # 4686
134,India Vs England,England,Moeen Ali,8.0,0,37,0,4.62,19,2,0,0,0,ODI # 4686
135,India Vs England,India,Jasprit Bumrah,6.5,1,32,3,4.68,31,3,2,2,0,ODI # 4686
136,India Vs England,India,Mohammed Siraj,6.0,0,33,0,5.5,22,3,1,2,0,ODI # 4686
137,India Vs England,India,Mohammed Shami,7.0,2,22,4,3.14,33,3,0,2,0,ODI # 4686
138,India Vs England,India,Kuldeep Yadav,8.0,0,24,2,3.0,28,1,0,0,0,ODI # 4686
139,India Vs England,India,Ravindra Jadeja,7.0,1,16,1,2.28,27,0,0,0,0,ODI # 4686
140,India Vs New Zealand,New Zealand,Trent Boult,10.0,0,86,1,8.6,26,9,4,2,0,ODI # 4678
141,India Vs New Zealand,New Zealand,Tim Southee,10.0,0,100,3,10.0,20,8,6,1,0,ODI # 4678
142,India Vs New Zealand,New Zealand,Mitchell Santner,10.0,1,51,0,5.1,29,3,2,0,0,ODI # 4678
143,India Vs New Zealand,New Zealand,Lockie Ferguson,8.0,0,65,0,8.12,15,7,1,1,0,ODI # 4678
144,India Vs New Zealand,New Zealand,Rachin Ravindra,7.0,0,60,0,8.57,13,2,4,2,0,ODI # 4678
145,India Vs New Zealand,New Zealand,Glenn Phillips,5.0,0,33,0,6.6,11,1,2,0,0,ODI # 4678
146,India Vs New Zealand,India,Jasprit Bumrah,10.0,1,64,1,6.4,32,6,1,6,0,ODI # 4678
147,India Vs New Zealand,India,Mohammed Siraj,9.0,0,78,1,8.66,26,10,3,3,0,ODI # 4678
148,India Vs New Zealand,India,Mohammed Shami,9.5,0,57,7,5.79,37,3,4,2,0,ODI # 4678
149,India Vs New Zealand,India,Ravindra Jadeja,10.0,0,63,0,6.3,29,3,3,0,1,ODI # 4678
150,India Vs New Zealand,India,Kuldeep Yadav,10.0,0,56,1,5.6,26,6,0,0,0,ODI # 4678
151,Netherlands Vs Bangladesh,Bangladesh,Shoriful Islam,10.0,0,51,2,5.1,38,5,1,3,0,ODI # 4685
152,Netherlands Vs Bangladesh,Bangladesh,Taskin Ahmed,9.0,1,43,2,4.77,32,6,0,1,0,ODI # 4685
153,Netherlands Vs Bangladesh,Bangladesh,Shakib Al Hasan,10.0,1,37,1,3.7,35,4,0,0,0,ODI # 4685
154,Netherlands Vs Bangladesh,Bangladesh,Mehidy Hasan Miraz,4.0,0,17,0,4.25,10,1,0,0,0,ODI # 4685
155,Netherlands Vs Bangladesh,Bangladesh,Mustafizur Rahman,10.0,1,36,2,3.6,36,3,0,1,0,ODI # 4685
156,Netherlands Vs Bangladesh,Bangladesh,Mahedi Hasan,7.0,0,40,2,5.71,23,3,1,1,0,ODI # 4685
157,Netherlands Vs Bangladesh,Netherlands,Aryan Dutt,10.0,3,26,1,2.6,48,3,1,0,0,ODI # 4685
158,Netherlands Vs Bangladesh,Netherlands,Logan van Beek,9.0,1,30,1,3.33,39,3,0,4,0,ODI # 4685
159,Netherlands Vs Bangladesh,Netherlands,Colin Ackermann,7.0,1,25,1,3.57,29,2,1,0,0,ODI # 4685
160,Netherlands Vs Bangladesh,Netherlands,Paul van Meekeren,7.2,0,23,4,3.13,30,2,0,2,0,ODI # 4685
161,Netherlands Vs Bangladesh,Netherlands,Bas de Leede,7.0,0,25,2,3.57,30,4,0,0,0,ODI # 4685
162,Netherlands Vs Bangladesh,Netherlands,Shariz Ahmad,2.0,0,13,0,6.5,5,2,0,0,0,ODI # 4685
163,Australia Vs New Zealand,New Zealand,Matt Henry,6.2,0,67,1,10.57,21,8,4,2,2,ODI # 4684
164,Australia Vs New Zealand,New Zealand,Trent Boult,10.0,0,77,3,7.7,25,7,3,3,0,ODI # 4684
165,Australia Vs New Zealand,New Zealand,Lockie Ferguson,3.0,0,38,0,12.66,6,3,3,0,0,ODI # 4684
166,Australia Vs New Zealand,New Zealand,Mitchell Santner,10.0,0,80,2,8.0,23,6,4,1,0,ODI # 4684
167,Australia Vs New Zealand,New Zealand,Glenn Phillips,10.0,0,37,3,3.7,30,2,0,0,0,ODI # 4684
168,Australia Vs New Zealand,New Zealand,Rachin Ravindra,8.0,0,56,0,7.0,18,5,2,0,0,ODI # 4684
169,Australia Vs New Zealand,New Zealand,James Neesham,2.0,0,32,1,16.0,4,1,4,0,0,ODI # 4684
170,Australia Vs New Zealand,Australia,Mitchell Starc,9.0,0,89,0,9.88,21,6,3,9,0,ODI # 4684
171,Australia Vs New Zealand,Australia,Josh Hazlewood,9.0,0,70,2,7.77,24,9,2,1,0,ODI # 4684
172,Australia Vs New Zealand,Australia,Pat Cummins,10.0,0,66,2,6.6,26,7,1,3,0,ODI # 4684
173,Australia Vs New Zealand,Australia,Glenn Maxwell,10.0,0,62,1,6.2,22,4,2,0,0,ODI # 4684
174,Australia Vs New Zealand,Australia,Adam Zampa,10.0,0,74,3,7.4,22,6,3,0,0,ODI # 4684
175,Australia Vs New Zealand,Australia,Mitchell Marsh,2.0,0,18,0,9.0,3,1,1,1,0,ODI # 4684
176,Pakistan Vs South Africa,South Africa,Marco Jansen,9.0,1,43,3,4.77,40,5,0,6,2,ODI # 4683
177,Pakistan Vs South Africa,South Africa,Lungi Ngidi,7.4,0,45,1,5.86,26,6,0,3,0,ODI # 4683
178,Pakistan Vs South Africa,South Africa,Aiden Markram,4.0,0,20,0,5.0,12,2,0,0,0,ODI # 4683
179,Pakistan Vs South Africa,South Africa,Keshav Maharaj,9.0,0,56,0,6.22,30,4,4,0,0,ODI # 4683
180,Pakistan Vs South Africa,South Africa,Gerald Coetzee,7.0,0,42,2,6.0,20,4,1,1,0,ODI # 4683
181,Pakistan Vs South Africa,South Africa,Tabraiz Shamsi,10.0,0,60,4,6.0,28,2,3,1,2,ODI # 4683
182,Pakistan Vs South Africa,Pakistan,Iftikhar Ahmed,3.0,0,23,0,7.66,9,1,1,1,0,ODI # 4683
183,Pakistan Vs South Africa,Pakistan,Shaheen Shah Afridi,10.0,0,45,3,4.5,37,5,0,3,0,ODI # 4683
184,Pakistan Vs South Africa,Pakistan,Mohammad Nawaz,6.2,0,40,0,6.31,15,4,1,0,0,ODI # 4683
185,Pakistan Vs South Africa,Pakistan,Haris Rauf,10.0,0,62,2,6.2,29,3,3,2,0,ODI # 4683
186,Pakistan Vs South Africa,Pakistan,Mohammad Wasim,10.0,1,50,2,5.0,37,7,0,3,0,ODI # 4683
187,Pakistan Vs South Africa,Pakistan,Usama Mir,8.0,0,45,2,5.62,25,1,3,1,0,ODI # 4683
188,England Vs Sri Lanka,Sri Lanka,Dilshan Madushanka,5.0,0,37,0,7.4,18,7,0,0,0,ODI # 4682
189,England Vs Sri Lanka,Sri Lanka,Kasun Rajitha,7.0,0,36,2,5.14,25,5,0,1,0,ODI # 4682
190,England Vs Sri Lanka,Sri Lanka,Maheesh Theekshana,8.2,1,21,1,2.52,36,1,0,3,0,ODI # 4682
191,England Vs Sri Lanka,Sri Lanka,Angelo Mathews,5.0,1,14,2,2.8,17,0,0,0,0,ODI # 4682
192,England Vs Sri Lanka,Sri Lanka,Lahiru Kumara,7.0,0,35,3,5.0,25,4,1,0,0,ODI # 4682
193,England Vs Sri Lanka,Sri Lanka,Dhananjaya de Silva,1.0,0,10,0,10.0,2,2,0,0,0,ODI # 4682
194,England Vs Sri Lanka,England,Chris Woakes,6.0,0,30,0,5.0,21,4,0,2,0,ODI # 4682
195,England Vs Sri Lanka,England,David Willey,5.0,0,30,2,6.0,18,5,0,1,0,ODI # 4682
196,England Vs Sri Lanka,England,Adil Rashid,4.4,0,39,0,8.35,9,1,3,0,0,ODI # 4682
197,England Vs Sri Lanka,England,Mark Wood,4.0,0,23,0,5.75,12,3,0,0,0,ODI # 4682
198,England Vs Sri Lanka,England,Liam Livingstone,3.0,0,17,0,5.66,8,2,0,0,0,ODI # 4682
199,England Vs Sri Lanka,England,Moeen Ali,3.0,0,21,0,7.0,5,2,0,0,0,ODI # 4682
200,Australia Vs Netherlands,Netherlands,Aryan Dutt,7.0,0,59,1,8.42,17,9,1,0,0,ODI # 4681
201,Australia Vs Netherlands,Netherlands,Colin Ackermann,4.0,0,19,0,4.75,10,0,1,0,0,ODI # 4681
202,Australia Vs Netherlands,Netherlands,Logan van Beek,10.0,0,74,4,7.4,31,7,3,5,0,ODI # 4681
203,Australia Vs Netherlands,Netherlands,Paul van Meekeren,10.0,0,64,0,6.4,29,7,1,3,0,ODI # 4681
204,Australia Vs Netherlands,Netherlands,Vikramjit Singh,4.0,0,27,0,6.75,13,3,1,1,0,ODI # 4681
205,Australia Vs Netherlands,Netherlands,Roelof van der Merwe,5.0,0,41,0,8.2,11,3,2,1,0,ODI # 4681
206,Australia Vs Netherlands,Netherlands,Bas de Leede,10.0,0,115,2,11.5,20,13,6,1,1,ODI # 4681
207,Australia Vs Netherlands,Australia,Mitchell Starc,4.0,0,22,1,5.5,19,5,0,2,0,ODI # 4681
208,Australia Vs Netherlands,Australia,Josh Hazlewood,6.0,0,27,1,4.5,25,4,0,2,0,ODI # 4681
209,Australia Vs Netherlands,Australia,Pat Cummins,4.0,0,14,1,3.5,16,2,0,0,0,ODI # 4681
210,Australia Vs Netherlands,Australia,Mitchell Marsh,4.0,0,19,2,4.75,15,2,0,3,0,ODI # 4681
211,Australia Vs Netherlands,Australia,Adam Zampa,3.0,0,8,4,2.66,10,0,0,0,0,ODI # 4681
212,South Africa Vs Bangladesh,Bangladesh,Mustafizur Rahman,9.0,0,76,0,8.44,15,7,2,2,0,ODI # 4680
213,South Africa Vs Bangladesh,Bangladesh,Mehidy Hasan Miraz,9.0,0,44,1,4.88,29,3,1,2,0,ODI # 4680
214,South Africa Vs Bangladesh,Bangladesh,Shoriful Islam,9.0,0,76,1,8.44,19,6,4,0,0,ODI # 4680
215,South Africa Vs Bangladesh,Bangladesh,Shakib Al Hasan,9.0,0,69,1,7.66,24,5,4,1,0,ODI # 4680
216,South Africa Vs Bangladesh,Bangladesh,Hasan Mahmud,6.0,0,67,2,11.16,12,3,6,1,0,ODI # 4680
217,South Africa Vs Bangladesh,Bangladesh,Nasum Ahmed,5.0,0,27,0,5.4,11,1,1,0,0,ODI # 4680
218,South Africa Vs Bangladesh,Bangladesh,Mahmudullah,3.0,0,20,0,6.66,7,1,1,1,0,ODI # 4680
219,South Africa Vs Bangladesh,South Africa,Marco Jansen,8.0,0,39,2,4.87,34,5,0,5,0,ODI # 4680
220,South Africa Vs Bangladesh,South Africa,Lizaad Williams,8.4,1,56,2,6.46,33,7,2,5,0,ODI # 4680
221,South Africa Vs Bangladesh,South Africa,Gerald Coetzee,10.0,0,62,3,6.2,36,8,2,1,1,ODI # 4680
222,South Africa Vs Bangladesh,South Africa,Kagiso Rabada,10.0,1,42,2,4.2,36,3,1,0,1,ODI # 4680
223,South Africa Vs Bangladesh,South Africa,Keshav Maharaj,10.0,0,32,1,3.2,36,2,0,1,0,ODI # 4680
224,Pakistan Vs Afghanistan,Afghanistan,Naveen-ul-Haq,7.0,0,52,2,7.42,22,4,3,3,0,ODI # 4679
225,Pakistan Vs Afghanistan,Afghanistan,Mujeeb Ur Rahman,8.0,0,55,0,6.87,20,5,2,0,0,ODI # 4679
226,Pakistan Vs Afghanistan,Afghanistan,Mohammad Nabi,10.0,0,31,1,3.1,37,2,0,0,0,ODI # 4679
227,Pakistan Vs Afghanistan,Afghanistan,Azmatullah Omarzai,5.0,0,50,1,10.0,9,4,2,3,0,ODI # 4679
