,match,teamInnings,battingPos,batsmanName,dismissal,runs,balls,4s,6s,SR
9, Vs ,,10,Mustafizur Rahman, b Mohammad Wasim,3,7,0,0,42.85
10, Vs ,,11,Shoriful Islam,,1,4,0,0,25.00
11, Vs ,,1,Abdullah Shafique,lbw b Mehidy Hasan Miraz,68,69,9,2,98.55
12, Vs ,,2,Fakhar Zaman,c Towhid Hridoy b Mehidy Hasan Miraz,81,74,3,7,109.45
13, Vs ,,3,Babar Azam(c),c Mahmudullah b Mehidy Hasan Miraz,9,16,1,0,56.25
14, Vs ,,4,Mohammad Rizwanâ€ ,,26,21,4,0,123.80
15, Vs ,,5,Iftikhar Ahmed,,17,15,2,0,113.33
,match,teamInnings,battingPos,batsmanName,dismissal,runs,balls,4s,6s,SR
0, Vs ,,1,Pathum Nissanka,c â€ Rahmanullah Gurbaz b Azmatullah Omarzai,46,60,5,0,76.66
1, Vs ,,2,Dimuth Karunaratne,lbw b Fazalhaq Farooqi,15,21,1,0,71.42
2, Vs ,,3,Kusal Mendis(c)â€ ,c sub (Najibullah Zadran) b Mujeeb Ur Rahman,39,50,3,0,78.00
3, Vs ,,4,Sadeera Samarawickrama,lbw b Mujeeb Ur Rahman,36,40,3,0,90.00
4, Vs ,,5,Charith Asalanka,c Rashid Khan b Fazalhaq Farooqi,22,28,2,0,78.57
5, Vs ,,6,Dhananjaya de Silva, b Rashid Khan,14,26,1,0,53.84
6, Vs ,,7,Angelo Mathews,c Mohammad Nabi b Fazalhaq Farooqi,23,26,1,1,88.46
7, Vs ,,8,Dushmantha Chameera,run out (Ibrahim Zadran),1,4,0,0,25.00
8, Vs ,,9,Maheesh Theekshana, b Fazalhaq Farooqi,29,31,3,1,93.54
9, Vs ,,10,Kasun Rajitha,run out (â€ Rahmanullah Gurbaz),5,7,0,0,71.42
10, Vs ,,11,Dilshan Madushanka,,0,4,0,0,0.00
11, Vs ,,1,Rahmanullah Gurbaz, b Madushanka,0,4,0,0,0.00
12, Vs ,,2,Ibrahim Zadran,c Karunaratne b Madushanka,39,57,4,1,68.42
13, Vs ,,3,Rahmat Shah,c Karunaratne b Rajitha,62,74,7,0,83.78
14, Vs ,,4,Hashmatullah Shahidi(c),,58,74,2,1,78.37
15, Vs ,,5,Azmatullah Omarzai,,73,63,6,3,115.87
,match,teamInnings,battingPos,batsmanName,dismissal,runs,balls,4s,6s,SR
0, Vs ,,1,Rohit Sharma(c),c Livingstone b Rashid,87,101,10,3,86.13
1, Vs ,,2,Shubman Gill, b Woakes,9,13,1,0,69.23
2, Vs ,,3,Virat Kohli,c Stokes b Willey,0,9,0,0,0.00
3, Vs ,,4,Shreyas Iyer,c Wood b Woakes,4,16,0,0,25.00
4, Vs ,,5,KL Rahulâ€ ,c Bairstow b Willey,39,58,3,0,67.24
5, Vs ,,6,Suryakumar Yadav,c Woakes b Willey,49,47,4,1,104.25
6, Vs ,,7,Ravindra Jadeja,lbw b Rashid,8,13,0,0,61.53
7, Vs ,,8,Mohammed Shami,c â€ Buttler b Wood,1,5,0,0,20.00
8, Vs ,,9,Jasprit Bumrah,run out (â€ Buttler),16,25,1,0,64.00
9, Vs ,,10,Kuldeep Yadav,,9,13,1,0,69.23
10, Vs ,,1,Jonny Bairstow, b Mohammed Shami,14,23,2,0,60.86
